"date","series","value"
"2011-09-14","NG_001_MONTH",4.039
"2011-09-14","NG_002_MONTH",4.117
"2011-09-15","NG_001_MONTH",3.878
"2011-09-15","NG_002_MONTH",3.981
"2011-09-16","NG_001_MONTH",3.809
"2011-09-16","NG_002_MONTH",3.922
"2011-09-19","NG_001_MONTH",3.829
"2011-09-19","NG_002_MONTH",3.932
"2011-09-20","NG_001_MONTH",3.798
"2011-09-20","NG_002_MONTH",3.885
"2011-09-21","NG_001_MONTH",3.73
"2011-09-21","NG_002_MONTH",3.82
"2011-09-22","NG_001_MONTH",3.705
"2011-09-22","NG_002_MONTH",3.782
"2011-09-23","NG_001_MONTH",3.701
"2011-09-23","NG_002_MONTH",3.766
"2011-09-26","NG_001_MONTH",3.782
"2011-09-26","NG_002_MONTH",3.845
"2011-09-27","NG_001_MONTH",3.827
"2011-09-27","NG_002_MONTH",3.875
"2011-09-28","NG_001_MONTH",3.759
"2011-09-28","NG_002_MONTH",3.799
"2011-09-29","NG_001_MONTH",3.747
"2011-09-29","NG_002_MONTH",4.015
"2011-09-30","NG_001_MONTH",3.666
"2011-09-30","NG_002_MONTH",3.962
"2011-10-03","NG_001_MONTH",3.617
"2011-10-03","NG_002_MONTH",3.928
"2011-10-04","NG_001_MONTH",3.638
"2011-10-04","NG_002_MONTH",3.944
"2011-10-05","NG_001_MONTH",3.57
"2011-10-05","NG_002_MONTH",3.884
"2011-10-06","NG_001_MONTH",3.598
"2011-10-06","NG_002_MONTH",3.916
"2011-10-07","NG_001_MONTH",3.481
"2011-10-07","NG_002_MONTH",3.82
"2011-10-10","NG_001_MONTH",3.541
"2011-10-10","NG_002_MONTH",3.836
"2011-10-11","NG_001_MONTH",3.616
"2011-10-11","NG_002_MONTH",3.859
"2011-10-12","NG_001_MONTH",3.489
"2011-10-12","NG_002_MONTH",3.791
"2011-10-13","NG_001_MONTH",3.531
"2011-10-13","NG_002_MONTH",3.814
"2011-10-14","NG_001_MONTH",3.703
"2011-10-14","NG_002_MONTH",3.96
"2011-10-17","NG_001_MONTH",3.688
"2011-10-17","NG_002_MONTH",3.903
"2011-10-18","NG_001_MONTH",3.553
"2011-10-18","NG_002_MONTH",3.788
"2011-10-19","NG_001_MONTH",3.586
"2011-10-19","NG_002_MONTH",3.813
"2011-10-20","NG_001_MONTH",3.63
"2011-10-20","NG_002_MONTH",3.834
"2011-10-21","NG_001_MONTH",3.629
"2011-10-21","NG_002_MONTH",3.826
"2011-10-24","NG_001_MONTH",3.604
"2011-10-24","NG_002_MONTH",3.794
"2011-10-25","NG_001_MONTH",3.658
"2011-10-25","NG_002_MONTH",3.852
"2011-10-26","NG_001_MONTH",3.59
"2011-10-26","NG_002_MONTH",3.775
"2011-10-27","NG_001_MONTH",3.524
"2011-10-27","NG_002_MONTH",3.764
"2011-10-28","NG_001_MONTH",3.923
"2011-10-28","NG_002_MONTH",4.042
"2011-10-31","NG_001_MONTH",3.934
"2011-10-31","NG_002_MONTH",4.056
"2011-11-01","NG_001_MONTH",3.781
"2011-11-01","NG_002_MONTH",3.92
"2011-11-02","NG_001_MONTH",3.749
"2011-11-02","NG_002_MONTH",3.882
"2011-11-03","NG_001_MONTH",3.778
"2011-11-03","NG_002_MONTH",3.901
"2011-11-04","NG_001_MONTH",3.783
"2011-11-04","NG_002_MONTH",3.892
"2011-11-07","NG_001_MONTH",3.696
"2011-11-07","NG_002_MONTH",3.803
"2011-11-08","NG_001_MONTH",3.745
"2011-11-08","NG_002_MONTH",3.843
"2011-11-09","NG_001_MONTH",3.652
"2011-11-09","NG_002_MONTH",3.749
"2011-11-10","NG_001_MONTH",3.649
"2011-11-10","NG_002_MONTH",3.747
"2011-11-11","NG_001_MONTH",3.584
"2011-11-11","NG_002_MONTH",3.696
"2011-11-14","NG_001_MONTH",3.458
"2011-11-14","NG_002_MONTH",3.6
"2011-11-15","NG_001_MONTH",3.404
"2011-11-15","NG_002_MONTH",3.542
"2011-11-16","NG_001_MONTH",3.344
"2011-11-16","NG_002_MONTH",3.483
"2011-11-17","NG_001_MONTH",3.41
"2011-11-17","NG_002_MONTH",3.546
"2011-11-18","NG_001_MONTH",3.316
"2011-11-18","NG_002_MONTH",3.496
"2011-11-21","NG_001_MONTH",3.399
"2011-11-21","NG_002_MONTH",3.558
"2011-11-22","NG_001_MONTH",3.415
"2011-11-22","NG_002_MONTH",3.561
"2011-11-23","NG_001_MONTH",3.46
"2011-11-23","NG_002_MONTH",3.608
"2011-11-25","NG_001_MONTH",3.542
"2011-11-25","NG_002_MONTH",3.665
"2011-11-28","NG_001_MONTH",3.364
"2011-11-28","NG_002_MONTH",3.525
"2011-11-29","NG_001_MONTH",3.633
"2011-11-29","NG_002_MONTH",3.653
"2011-11-30","NG_001_MONTH",3.55
"2011-11-30","NG_002_MONTH",3.578
"2011-12-01","NG_001_MONTH",3.648
"2011-12-01","NG_002_MONTH",3.675
